name                                                                            , rating, reviews, Type_Location                                                                     , Top_rated_for
TCS                                                                             ,    3.3, (1.1L) , IT Services & Consulting | Bengaluru +444 other locations                         , Job Security
Hikal                                                                           ,    3.8, (1.1k) , Pharma | Bengaluru +22 other locations                                            , "Job Security, Work Life Balance"
Sri Chaitanya Educational Institutions                                          ,    3.6, (1.1k) , Education & Training | Hyderabad +102 other locations                             , "Promotions, Company Culture, Salary"
TÜV NORD                                                                        ,    3.7, (1.1k) , "Testing, Inspection and Certification (TIC) | Pune +91 other locations"          , "Promotions, Company Culture, Job Security"
Kirloskar Brothers                                                              ,    3.7, (1.1k) , Industrial Machinery | Pune +74 other locations                                   , Work Life Balance
VMware Software                                                                 ,    4.4, (1.1k) , Software Product | Bengaluru +17 other locations                                  , "Salary, Company Culture, Work Life Balance"
Saipem                                                                          ,    4.2, (1.1k) , Engineering & Construction | Chennai +42 other locations                          , "Job Security, Work Life Balance, Company Culture"
Tube Investments of India                                                       ,    3.8, (1.1k) , Engineering & Construction | Chennai +65 other locations                          , Job Security
Godrej Agrovet                                                                  ,    3.9, (1.1k) , Agriculture | Mumbai +146 other locations                                         , "Job Security, Company Culture"
Syngenta                                                                        ,    4.2, (1.1k) , Agriculture | Pune +173 other locations                                           , "Work Life Balance, Company Culture, Work Satisfaction"
Vedanta Aluminium                                                               ,    3.8, (1.1k) , Metals & Mining | Jharsuguda +46 other locations                                  , "Salary, Job Security"
ICON Plc                                                                        ,    4.0, (1.1k) , Clinical Research | Chennai +23 other locations                                   , "Work Life Balance, Company Culture, Job Security"
Knorr-Bremse                                                                    ,    3.3, (1.1k) , Auto Components | Pune +33 other locations                                        , "Promotions, Job Security, Skill Development"
Northcorp Software                                                              ,    4.9, (1.1k) , IT Services & Consulting | Gurugram +7 other locations                            , "Work Life Balance, Work Satisfaction, Job Security"
CALIBEHR                                                                        ,    4.0, (1.1k) , IT Services & Consulting | Mumbai +184 other locations                            , "Company Culture, Work Life Balance, Skill Development"
Aarvi Encon                                                                     ,    3.9, (1.1k) , Recruitment | Mumbai +132 other locations                                         , "Work Life Balance, Salary"
Unity Small Finance Bank                                                        ,    3.6, (1.1k) , Banking | Mumbai +149 other locations                                             , "Promotions, Job Security, Company Culture"
HPCL-Mittal Energy Limited                                                      ,    4.3, (1.1k) , Petrochemicals | Bathinda +29 other locations                                     , "Work Life Balance, Job Security, Company Culture"
Adani Ports and SEZ                                                             ,    3.6, (1.1k) , Ports & Shipping | Mundra +60 other locations                                     , "Promotions, Job Security, Company Culture"
Tata Capital Housing Finance                                                    ,    4.0, (1.1k) , NBFC | Mumbai +171 other locations                                                , "Skill Development, Salary, Job Security"
Xyz Company                                                                     ,    3.8, (1.1k) , Financial Services | Bengaluru +90 other locations                                , "Company Culture, Work Life Balance, Job Security"
Gmmco                                                                           ,    4.1, (1.1k) , Industrial Machinery | Chennai +90 other locations                                , "Skill Development, Job Security, Work Life Balance"
Vayona Energy                                                                   ,    4.0, (1.1k) , Power | Bengaluru +68 other locations                                             , "Work Life Balance, Salary"
TKIL                                                                            ,    4.1, (1.1k) , Industrial Machinery | Pune +66 other locations                                   , "Company Culture, Work Life Balance, Job Security"
GAIL                                                                            ,    4.4, (1.1k) , Oil & Gas | New Delhi +104 other locations                                        , "Company Culture, Work Life Balance, Skill Development"
Power Grid Corporation of India                                                 ,    4.3, (1.1k) , Power | Gurugram +235 other locations                                             , "Company Culture, Salary, Work Life Balance"
Hinduja Housing Finance                                                         ,    3.7, (1.1k) , NBFC | New Delhi +215 other locations                                             , "Promotions, Company Culture, Work Satisfaction"
Metropolis Healthcare                                                           ,    3.9, (1.1k) , Healthcare | Mumbai +104 other locations                                          , "Work Life Balance, Skill Development"
Jet Airways                                                                     ,    4.6, (1.1k) , Aviation | Mumbai +44 other locations                                             , "Work Satisfaction, Company Culture, Work Life Balance"
Pernod Ricard                                                                   ,    3.5, (1.1k) , Beverage | Gurugram +121 other locations                                          , Salary
Dana Anand                                                                      ,    4.0, (1.1k) , Auto Components | Pune +49 other locations                                        , "Company Culture, Job Security, Skill Development"
Nexa                                                                            ,    3.9, (1.1k) , Automobile | New Delhi +216 other locations                                       , Skill Development
Thermo Fisher Scientific                                                        ,    3.8, (1.1k) , Biotechnology | Bengaluru +36 other locations                                     , "Work Life Balance, Job Security"
Bajaj Capital Insurance Broking Limited                                         ,    4.4, (1.1k) , Insurance | New Delhi +141 other locations                                        , "Skill Development, Company Culture, Work Life Balance"
Innodata India Private Limited                                                  ,    3.6, (1.1k) , IT Services & Consulting | Noida +23 other locations                              , "Promotions, Job Security, Skill Development"
Aspire Systems                                                                  ,    3.8, (1.1k) , IT Services & Consulting | Chennai +23 other locations                            , "Job Security, Company Culture, Work Life Balance"
Klm Axiva Finvest                                                               ,    4.4, (1.1k) , NBFC | Bengaluru +158 other locations                                             , "Company Culture, Work Life Balance, Work Satisfaction"
Amazon Sellers Services                                                         ,    4.0, (1.1k) , Internet | Bengaluru +68 other locations                                          , "Salary, Company Culture, Skill Development"
SLMG Beverages                                                                  ,    3.9, (1.1k) , Beverage | Lucknow +96 other locations                                            , "Work Life Balance, Skill Development"
Fractal Analytics                                                               ,    4.0, (1.1k) , Analytics & KPO | Bengaluru +19 other locations                                   , "Company Culture, Work Life Balance, Job Security"
Greenko Group                                                                   ,    3.9, (1.1k) , Power | Hyderabad +83 other locations                                             , "Job Security, Work Life Balance"
Zf Rane Automotive                                                              ,    3.9, (1.1k) , Auto Components | Chennai +50 other locations                                     , "Skill Development, Job Security"
Hitachi Energy                                                                  ,    4.0, (1.1k) , Power | Chennai +39 other locations                                               , "Job Security, Work Life Balance, Company Culture"
Hindustan Zinc                                                                  ,    3.7, (1.1k) , Metals & Mining | Udaipur +36 other locations                                     , Salary
QX Global Group                                                                 ,    3.1, (1.1k) , BPO | Ahmedabad +19 other locations                                               , "Promotions, Work Satisfaction, Job Security"
Bharat Sanchar Nigam                                                            ,    3.9, (1k)   , Telecom | Bengaluru +240 other locations                                          , "Work Life Balance, Job Security"
GlobalData                                                                      ,    3.3, (1k)   , Analytics & KPO | Hyderabad +22 other locations                                   , "Promotions, Salary, Skill Development"
Netcracker Technology                                                           ,    3.0, (1k)   , IT Services & Consulting | Hyderabad +12 other locations                          , "Promotions, Job Security, Company Culture"
Spencer's Retail                                                                ,    3.8, (1k)   , Retail | Kolkata +63 other locations                                              , Promotions
Crompton Greaves Consumer Electricals                                           ,    3.7, (1k)   , Consumer Electronics & Appliances | Mumbai +109 other locations                   , "Promotions, Company Culture, Work Satisfaction"
Malabar Gold and Diamonds                                                       ,    4.1, (1k)   , Jewellery | Hyderabad +132 other locations                                        , "Company Culture, Job Security, Skill Development"
Gharda Chemicals Limited                                                        ,    4.0, (1k)   , Agro Chemicals | Mumbai +73 other locations                                       , "Job Security, Work Life Balance, Skill Development"
Nippon Life India Asset Management                                              ,    4.6, (1k)   , Financial Services | Mumbai +189 other locations                                  , "Company Culture, Work Life Balance, Job Security"
Encora                                                                          ,    3.4, (1k)   , IT Services & Consulting | Bengaluru +19 other locations                          , "Job Security, Promotions, Skill Development"
BirlaNu                                                                         ,    3.8, (1k)   , Building Material | Hyderabad +110 other locations                                , Promotions
Vertiv                                                                          ,    3.8, (1k)   , Electronics Manufacturing | Pune +54 other locations                              , Job Security
ValueMomentum                                                                   ,    3.2, (1k)   , IT Services & Consulting | Hyderabad +11 other locations                          , "Promotions, Company Culture, Work Satisfaction"
Otis Elevator                                                                   ,    4.0, (1k)   , Industrial Machinery | Bengaluru +71 other locations                              , "Job Security, Company Culture, Work Life Balance"
Shyam Steel Group                                                               ,    3.4, (1k)   , Iron & Steel | Kolkata +87 other locations                                        , "Promotions, Work Satisfaction, Skill Development"
Wheels                                                                          ,    3.9, (1k)   , Auto Components | Chennai +47 other locations                                     , "Job Security, Skill Development"
Kinara Capital                                                                  ,    4.2, (1k)   , NBFC | Bengaluru +115 other locations                                             , "Company Culture, Work Life Balance, Work Satisfaction"
Lakshmi Machine Works                                                           ,    3.8, (1k)   , Industrial Machinery | Coimbatore +30 other locations                             , Job Security
GVPR Engineers                                                                  ,    3.8, (1k)   , Engineering & Construction | Hyderabad +94 other locations                        , "Work Life Balance, Salary"
Allianz Technology                                                              ,    4.0, (1k)   , IT Services & Consulting | Pune +14 other locations                               , "Work Life Balance, Company Culture, Job Security"
Uber                                                                            ,    4.1, (1k)   , Internet | Hyderabad +52 other locations                                          , "Work Life Balance, Company Culture, Salary"
IB Group                                                                        ,    3.7, (1k)   , Food Processing | Rajnandgaon +152 other locations                                , "Promotions, Company Culture, Work Satisfaction"
NBC Bearings                                                                    ,    3.9, (1k)   , Auto Components | Jaipur +28 other locations                                      , "Job Security, Work Life Balance, Company Culture"
Birla Opus                                                                      ,    4.0, (1k)   , Chemicals | Mumbai +279 other locations                                           , "Skill Development, Work Life Balance, Company Culture"
Atlas Copco                                                                     ,    4.1, (1k)   , Industrial Machinery | Pune +59 other locations                                   , "Company Culture, Job Security, Work Life Balance"
Ceasefire Industries                                                            ,    3.1, (1k)   , Industrial Machinery | New Delhi +76 other locations                              , "Promotions, Work Satisfaction, Job Security"
Amara Raja Group                                                                ,    4.1, (1k)   , Auto Components | Tirupati +80 other locations                                    , "Job Security, Skill Development, Company Culture"
ALLEN Career Institute                                                          ,    3.8, (1k)   , Education & Training | Kota +72 other locations                                   , "Promotions, Skill Development"
iQor Global Services                                                            ,    3.3, (1k)   , BPO | Noida +50 other locations                                                   , "Promotions, Job Security, Skill Development"
Hitachi Payment Services                                                        ,    3.6, (1k)   , FinTech | Mumbai +89 other locations                                              , "Promotions, Job Security, Skill Development"
SitusAMC                                                                        ,    3.2, (1k)   , Financial Services | Bengaluru +18 other locations                                , "Promotions, Company Culture, Work Satisfaction"
Vistaar Finance                                                                 ,    3.9, (1k)   , NBFC | Bengaluru +203 other locations                                             , Salary
Suzuki Motorcycle                                                               ,    4.0, (1k)   , Automobile | Gurugram +120 other locations                                        , "Job Security, Work Life Balance, Company Culture"
Fortrea Development India Private Limited                                       ,    3.9, (1k)   , Clinical Research | Bengaluru +11 other locations                                 , "Work Life Balance, Company Culture"
Tata Cummins                                                                    ,    4.4, (1k)   , Auto Components | Jamshedpur +45 other locations                                  , "Company Culture, Work Life Balance, Work Satisfaction"
Sahara India Pariwar                                                            ,    3.8, (1k)   , Broadcasting | Lucknow +245 other locations                                       , Work Life Balance
Syrma SGS Technologies                                                          ,    4.0, (1k)   , Electronics Manufacturing | Chennai +23 other locations                           , "Job Security, Company Culture, Work Life Balance"
Perfetti Van Melle                                                              ,    4.2, (1k)   , FMCG | Gurugram +163 other locations                                              , "Company Culture, Work Life Balance, Work Satisfaction"
BDR Pharmaceuticals International                                               ,    4.1, (1k)   , Pharma | Vadodara +29 other locations                                             , "Job Security, Company Culture, Skill Development"
Secure Meters                                                                   ,    3.9, (1k)   , Electronics Manufacturing | Udaipur +73 other locations                           , "Job Security, Company Culture, Work Life Balance"
Visionet Systems                                                                ,    3.3, (1k)   , IT Services & Consulting | Bengaluru +17 other locations                          , "Promotions, Salary, Work Satisfaction"
Incheon Motors                                                                  ,    4.7, (1k)   , Automobile | Kochi +16 other locations                                            , "Company Culture, Job Security, Skill Development"
Temenos                                                                         ,    3.2, (1k)   , Software Product | Chennai +11 other locations                                    , "Promotions, Job Security, Skill Development"
MakeMyTrip                                                                      ,    3.4, (1k)   , Travel & Tourism | Gurugram +46 other locations                                   , "Promotions, Work Satisfaction, Salary"
Lemon Tree Hotels                                                               ,    4.0, (1k)   , Hospitality | New Delhi +80 other locations                                       , "Job Security, Company Culture, Work Life Balance"
Thomas Cook                                                                     ,    4.0, (1k)   , Travel & Tourism | Mumbai +80 other locations                                     , "Job Security, Company Culture, Skill Development"
United Breweries                                                                ,    3.3, (1k)   , Beverage | Bengaluru +106 other locations                                         , "Promotions, Job Security, Company Culture"
Bounteous x Accolite                                                            ,    3.2, (1k)   , IT Services & Consulting | Bengaluru +15 other locations                          , "Promotions, Company Culture, Work Satisfaction"
MasterCard                                                                      ,    3.8, (1k)   , FinTech | Pune +16 other locations                                                , "Work Life Balance, Company Culture, Salary"
Colgate Palmolive                                                               ,    3.9, (1k)   , FMCG | Mumbai +121 other locations                                                , "Company Culture, Work Life Balance, Job Security"
Aparajitha Corporate Services                                                   ,    3.8, (1k)   , Legal | Madurai +97 other locations                                               , "Work Life Balance, Job Security, Skill Development"
TradeIndia (Infocom Network Private Limited)                                    ,    3.4, (1k)   , Internet | New Delhi +42 other locations                                          , "Promotions, Work Satisfaction, Job Security"
Westside                                                                        ,    3.7, (1k)   , Retail | Mumbai +109 other locations                                              , "Job Security, Skill Development"
Comviva Technology                                                              ,    2.8, (1k)   , Software Product | Gurugram +19 other locations                                   , "Promotions, Salary, Work Satisfaction"
Vaco Binary Semantics                                                           ,    3.1, (1k)   , IT Services & Consulting | Gurugram +49 other locations                           , "Promotions, Skill Development, Work Satisfaction"
Comviva Technology                                                              ,    2.8, (1k)   , Software Product | Gurugram +19 other locations                                   , "Promotions, Salary, Work Satisfaction"
eClinicalWorks                                                                  ,    3.6, (1k)   , Software Product | Mumbai +20 other locations                                     , Job Security
Siemens Energy                                                                  ,    4.1, (1k)   , Power | Pune +50 other locations                                                  , "Work Life Balance, Company Culture, Job Security"
Skipper                                                                         ,    3.9, (1k)   , Industrial Machinery | Kolkata +93 other locations                                , Promotions
Skoda Auto Volkswagen India                                                     ,    4.0, (1k)   , Automobile | Pune +48 other locations                                             , "Work Life Balance, Company Culture"
Arohan Financial Services                                                       ,    3.9, (1k)   , NBFC | Kolkata +237 other locations                                               , Salary
SYSKA LED Lights                                                                ,    2.9, (1k)   , Consumer Electronics & Appliances | Pune +154 other locations                     , "Job Security, Promotions, Salary"
AstraZeneca                                                                     ,    3.9, (1k)   , Pharma | Chennai +49 other locations                                              , "Work Life Balance, Salary, Company Culture"
Cult.fit                                                                        ,    3.5, (1k)   , Fitness & Wellness | Bengaluru +42 other locations                                , "Promotions, Job Security, Work Satisfaction"
Merino Industries                                                               ,    3.7, (999)  , Building Material | New Delhi +82 other locations                                 , "Promotions, Company Culture, Work Satisfaction"
Star Cement                                                                     ,    4.0, (998)  , Building Material | Guwahati +79 other locations                                  , "Job Security, Work Life Balance, Company Culture"
Collins Aerospace                                                               ,    3.8, (998)  , Defence & Aerospace | Bengaluru +12 other locations                               , "Work Life Balance, Job Security"
Mastek                                                                          ,    3.6, (997)  , IT Services & Consulting | Mumbai +23 other locations                             , "Promotions, Salary, Work Satisfaction"
Amazon Web Services                                                             ,    3.8, (996)  , IT Services & Consulting | Bengaluru +62 other locations                          , Salary
CarDekho Group                                                                  ,    3.6, (995)  , Internet | Gurugram +81 other locations                                           , "Promotions, Job Security, Work Satisfaction"
Tiger Analytics                                                                 ,    3.7, (993)  , IT Services & Consulting | Bengaluru +17 other locations                          , "Skill Development, Salary"
C&S Electric                                                                    ,    3.9, (992)  , Electrical Equipment | Noida +57 other locations                                  , "Job Security, Work Life Balance"
Mahindra Automotives                                                            ,    3.8, (992)  , Automobile | Pune +132 other locations                                            , "Job Security, Skill Development"
JW Marriott                                                                     ,    4.2, (991)  , Hospitality | Mumbai +43 other locations                                          , "Job Security, Skill Development, Company Culture"
Xebia                                                                           ,    3.0, (992)  , IT Services & Consulting | Gurugram +23 other locations                           , "Promotions, Job Security, Work Satisfaction"
Everest Industries                                                              ,    3.8, (990)  , Building Material | Mumbai +98 other locations                                    , Work Life Balance
Rebel Foods                                                                     ,    3.7, (991)  , Hospitality | Mumbai +79 other locations                                          , "Promotions, Work Satisfaction, Work Life Balance"
Softenger                                                                       ,    4.0, (987)  , IT Services & Consulting | Pune +32 other locations                               , "Company Culture, Work Life Balance, Work Satisfaction"
Quantiphi Analytics Solutions Private Limited                                   ,    3.1, (985)  , IT Services & Consulting | Bengaluru +18 other locations                          , "Job Security, Work Life Balance, Promotions"
Lumina Datamatics                                                               ,    3.1, (985)  , IT Services & Consulting | Mumbai +20 other locations                             , "Promotions, Salary, Skill Development"
Entain                                                                          ,    3.6, (986)  , IT Services & Consulting | Hyderabad +13 other locations                          , Work Life Balance
Motherson Sumi Wiring                                                           ,    3.7, (987)  , Electrical Equipment | Noida +43 other locations                                  , Job Security
Wonder Cement                                                                   ,    4.2, (986)  , Building Material | Nimbahera +112 other locations                                , "Salary, Company Culture, Work Life Balance"
Pizza Hut                                                                       ,    4.0, (983)  , Hospitality | New Delhi +128 other locations                                      , "Skill Development, Job Security, Company Culture"
VeeTechnologies                                                                 ,    3.9, (983)  , IT Services & Consulting | Bengaluru +40 other locations                          , "Job Security, Company Culture, Work Life Balance"
Barclays Global Service Centre                                                  ,    3.9, (981)  , IT Services & Consulting | Pune +13 other locations                               , "Company Culture, Work Life Balance, Job Security"
Capacit'e Infraprojects                                                         ,    3.7, (981)  , Engineering & Construction | Mumbai +35 other locations                           , "Promotions, Company Culture, Work Life Balance"
General Mills                                                                   ,    4.1, (981)  , Food Processing | Mumbai +54 other locations                                      , "Company Culture, Work Life Balance, Job Security"
Lowe's                                                                          ,    4.0, (980)  , Retail | Bengaluru +9 other locations                                             , "Company Culture, Work Life Balance, Job Security"
JSW Group                                                                       ,    3.8, (979)  , Iron & Steel | Mumbai +98 other locations                                         , Job Security
TechnipFMC                                                                      ,    3.9, (978)  , Engineering & Construction | Hyderabad +43 other locations                        , "Company Culture, Work Life Balance, Job Security"
Natco Pharma                                                                    ,    3.9, (978)  , Pharma | Hyderabad +66 other locations                                            , "Work Life Balance, Job Security, Salary"
J B Chemicals And Pharmaceuticals                                               ,    3.9, (977)  , Pharma | Mumbai +96 other locations                                               , Promotions
Technip Energies                                                                ,    4.0, (977)  , Engineering & Construction | Noida +42 other locations                            , "Company Culture, Job Security, Skill Development"
Yokohama Off-Highway Tires                                                      ,    3.7, (976)  , Auto Components | Bharuch +38 other locations                                     , "Promotions, Work Satisfaction, Salary"
National Payments Corporation of India                                          ,    4.0, (976)  , FinTech | Mumbai +11 other locations                                              , "Job Security, Skill Development, Work Life Balance"
VIP Industries                                                                  ,    3.7, (973)  , Retail | Mumbai +96 other locations                                               , "Promotions, Company Culture, Job Security"
Jyothy Labs                                                                     ,    4.0, (973)  , FMCG | Mumbai +197 other locations                                                , "Salary, Company Culture, Job Security"
Napino Auto & Electronics                                                       ,    3.8, (972)  , Auto Components | Gurugram +25 other locations                                    , Promotions
Hiranandani Financial Services                                                  ,    4.4, (973)  , NBFC | Mumbai +136 other locations                                                , "Company Culture, Work Life Balance, Skill Development"
Salcomp Manufacturing                                                           ,    4.0, (972)  , Electronics Manufacturing | Chennai +28 other locations                           , "Job Security, Work Life Balance, Skill Development"
Pricol                                                                          ,    3.9, (971)  , Auto Components | Coimbatore +34 other locations                                  , "Skill Development, Company Culture, Work Life Balance"
Altisource                                                                      ,    3.5, (970)  , Real Estate | Bengaluru +9 other locations                                        , "Promotions, Job Security, Skill Development"
Financial Software & Systems                                                    ,    3.7, (969)  , Software Product | Chennai +35 other locations                                    , "Promotions, Salary, Work Satisfaction"
Kendriya Vidyalaya Sangathan                                                    ,    4.3, (969)  , Education & Training | New Delhi +233 other locations                             , "Work Life Balance, Company Culture, Skill Development"
Guidehouse                                                                      ,    3.6, (969)  , Management Consulting | Chennai +19 other locations                               , Salary
Marsh McLennan                                                                  ,    3.8, (970)  , Management Consulting | Mumbai +24 other locations                                , "Work Life Balance, Job Security, Company Culture"
Shriram General Insurance                                                       ,    3.6, (967)  , Insurance | Jaipur +201 other locations                                           , "Promotions, Salary, Company Culture"
LOREAL                                                                          ,    3.8, (967)  , Beauty & Personal Care | Mumbai +99 other locations                               , Salary
KEI Industries                                                                  ,    4.2, (967)  , Electrical Equipment | New Delhi +107 other locations                             , "Salary, Job Security, Work Life Balance"
Psp Projects                                                                    ,    3.8, (965)  , Engineering & Construction | Ahmedabad +56 other locations                        , "Skill Development, Salary"
Astral Adhesives                                                                ,    3.9, (964)  , Chemicals | Ahmedabad +162 other locations                                        , Salary
Gannon Dunkerley & Co.                                                          ,    3.3, (956)  , Engineering & Construction | Kolkata +81 other locations                          , "Salary, Promotions, Company Culture"
Pramerica Life Insurance                                                        ,    3.7, (956)  , Insurance | Gurugram +126 other locations                                         , Work Life Balance
Defence Research & Development Organisation                                     ,    4.4, (958)  , Defence & Aerospace | Hyderabad +59 other locations                               , "Work Life Balance, Work Satisfaction, Skill Development"
ICCS                                                                            ,    3.0, (955)  , BPO | Noida +32 other locations                                                   , "Promotions, Job Security, Salary"
Adani Enterprises                                                               ,    3.6, (954)  , Metals & Mining | Ahmedabad +76 other locations                                   , "Promotions, Work Satisfaction, Company Culture"
Nasser S. Al Hajri Corporation                                                  ,    3.6, (952)  , Engineering & Construction | Chennai +55 other locations                          , Job Security
Mando Automotive                                                                ,    4.0, (952)  , Auto Components | Chennai +21 other locations                                     , "Job Security, Skill Development, Company Culture"
Episource                                                                       ,    3.9, (950)  , IT Services & Consulting | Chennai +19 other locations                            , "Company Culture, Job Security, Skill Development"
Xceedance                                                                       ,    3.5, (950)  , IT Services & Consulting | Gurugram +14 other locations                           , "Promotions, Work Satisfaction, Salary"
Signify                                                                         ,    3.4, (949)  , Consumer Electronics & Appliances | Bengaluru +84 other locations                 , "Promotions, Work Satisfaction, Company Culture"
Jaro Education                                                                  ,    3.2, (948)  , Education & Training | Mumbai +24 other locations                                 , Salary
SFO Technologies                                                                ,    3.4, (947)  , Electronics Manufacturing | Bengaluru +16 other locations                         , "Promotions, Salary, Company Culture"
Amphenol Interconnect                                                           ,    4.2, (949)  , Electrical Equipment | Pune +19 other locations                                   , "Work Life Balance, Company Culture, Work Satisfaction"
Timken                                                                          ,    3.9, (946)  , Industrial Machinery | Jamshedpur +44 other locations                             , Promotions
KMV Projects Limited                                                            ,    4.2, (946)  , Engineering & Construction | Hyderabad +71 other locations                        , "Salary, Company Culture, Job Security"
Jubilant Pharmova                                                               ,    3.7, (946)  , Pharma | Noida +61 other locations                                                , Promotions
Cohance Lifesciences                                                            ,    3.8, (946)  , Pharma | Hyderabad +24 other locations                                            , Work Life Balance
Velocis Systems                                                                 ,    3.8, (945)  , IT Services & Consulting | New Delhi +53 other locations                          , "Work Life Balance, Job Security"
FLSmidth                                                                        ,    3.5, (944)  , Industrial Machinery | Chennai +25 other locations                                , Work Life Balance
JSW Paints                                                                      ,    3.8, (943)  , Chemicals | Mumbai +172 other locations                                           , Promotions
Reliance Power                                                                  ,    4.1, (942)  , Power | Singrauli +43 other locations                                             , "Job Security, Work Life Balance, Work Satisfaction"
Petrofac                                                                        ,    4.2, (941)  , Oil & Gas | Chennai +42 other locations                                           , "Salary, Company Culture, Work Life Balance"
Tikona Infinet                                                                  ,    3.4, (941)  , Telecom | Mumbai +45 other locations                                              , "Promotions, Salary, Job Security"
Petrofac                                                                        ,    4.2, (941)  , Oil & Gas | Chennai +42 other locations                                           , "Salary, Company Culture, Work Life Balance"
Knight Frank                                                                    ,    4.0, (941)  , Real Estate | Mumbai +52 other locations                                          , "Company Culture, Work Life Balance, Job Security"
Navayuga Engineering Company                                                    ,    3.9, (939)  , Engineering & Construction | Hyderabad +74 other locations                        , "Work Life Balance, Job Security"
Bhanzu                                                                          ,    3.8, (940)  , EdTech | Bengaluru +14 other locations                                            , Work Life Balance
Hathway                                                                         ,    3.3, (938)  , Telecom | Mumbai +58 other locations                                              , "Promotions, Work Satisfaction, Job Security"
Godfrey Phillips India                                                          ,    4.0, (934)  , FMCG | New Delhi +125 other locations                                             , "Work Life Balance, Job Security, Company Culture"
Volvo                                                                           ,    4.0, (934)  , Automobile | Bengaluru +40 other locations                                        , "Work Life Balance, Job Security, Company Culture"
Tafe Motors & Tractors                                                          ,    3.9, (933)  , Industrial Machinery | Bhopal +73 other locations                                 , "Company Culture, Job Security"
"Commonwealth Bank of Australia, India"                                         ,    2.7, (932)  , Financial Services | Bengaluru +14 other locations                                , "Promotions, Job Security, Work Satisfaction"
LanceSoft                                                                       ,    3.2, (933)  , Recruitment | Hyderabad +31 other locations                                       , "Promotions, Job Security, Work Satisfaction"
FastInfo                                                                        ,    4.2, (931)  , Internet | Kolkata +8 other locations                                             , "Company Culture, Work Life Balance, Work Satisfaction"
Bayer                                                                           ,    4.0, (931)  , Pharma | Bengaluru +117 other locations                                           , "Work Life Balance, Company Culture, Work Satisfaction"
Sandhar Technologies                                                            ,    3.7, (930)  , Auto Components | Gurugram +32 other locations                                    , "Promotions, Company Culture, Work Satisfaction"
CIEL HR                                                                         ,    3.9, (929)  , Recruitment | Bengaluru +112 other locations                                      , "Work Life Balance, Company Culture"
Naukri                                                                          ,    4.1, (929)  , Internet | Noida +71 other locations                                              , "Job Security, Company Culture, Work Life Balance"
Regulated Council of Immigration Consultants                                    ,    4.9, (928)  , Other | Dubai +5 other locations                                                  , "Company Culture, Work Life Balance, Work Satisfaction"
Apotex Research                                                                 ,    3.8, (927)  , Pharma | Bengaluru +14 other locations                                            , Work Life Balance
Intellipaat Software Solutions                                                  ,    3.9, (925)  , EdTech | Bengaluru +17 other locations                                            , "Skill Development, Salary, Company Culture"
Medhaj Techno Concept                                                           ,    4.0, (925)  , Management Consulting | Lucknow +152 other locations                              , "Work Life Balance, Company Culture, Work Satisfaction"
Medha Servo Drives                                                              ,    4.2, (923)  , Electrical Equipment | Hyderabad +56 other locations                              , "Job Security, Skill Development, Company Culture"
GE Healthcare                                                                   ,    3.9, (923)  , Medical Equipment | Bengaluru +35 other locations                                 , "Company Culture, Work Life Balance, Job Security"
Aircel                                                                          ,    4.4, (922)  , Telecom | New Delhi +113 other locations                                          , "Company Culture, Work Life Balance, Work Satisfaction"
Schlumberger                                                                    ,    3.7, (922)  , Oil & Gas | Pune +36 other locations                                              , Work Life Balance
Test Yantra Software Solutions                                                  ,    3.0, (921)  , IT Services & Consulting | Bengaluru +19 other locations                          , "Promotions, Job Security, Salary"
